2024-04-29 15:31:17 INFO  Keywords:92 - Navigate is called
2024-04-29 15:31:22 INFO  Keywords:120 - InputText is called
2024-04-29 15:31:22 INFO  Keywords:281 - Waiting for webElement...login.username
2024-04-29 15:31:22 INFO  Keywords:285 - Element found...login.username
2024-04-29 15:31:23 INFO  Keywords:120 - InputText is called
2024-04-29 15:31:23 INFO  Keywords:281 - Waiting for webElement...login.password
2024-04-29 15:31:23 INFO  Keywords:285 - Element found...login.password
2024-04-29 15:31:23 INFO  Keywords:133 - ClickOnLink is called
2024-04-29 15:31:23 INFO  Keywords:281 - Waiting for webElement...login.loginbutton
2024-04-29 15:31:23 INFO  Keywords:285 - Element found...login.loginbutton
2024-04-29 15:31:33 INFO  Keywords:281 - Waiting for webElement...userlist.partner
2024-04-29 15:31:33 INFO  Keywords:285 - Element found...userlist.partner
2024-04-29 15:31:43 INFO  Keywords:281 - Waiting for webElement...userlist.userrole
2024-04-29 15:31:44 INFO  Keywords:285 - Element found...userlist.userrole
2024-04-29 15:31:44 INFO  Keywords:120 - InputText is called
2024-04-29 15:31:44 INFO  Keywords:281 - Waiting for webElement...userlist.loginID
2024-04-29 15:31:44 INFO  Keywords:285 - Element found...userlist.loginID
2024-04-29 15:31:44 INFO  Keywords:133 - ClickOnLink is called
2024-04-29 15:31:44 INFO  Keywords:281 - Waiting for webElement...userlist.search
2024-04-29 15:31:44 INFO  Keywords:285 - Element found...userlist.search
2024-04-29 15:31:55 INFO  Keywords:133 - ClickOnLink is called
2024-04-29 15:31:55 INFO  Keywords:281 - Waiting for webElement...userlist.selectuser
2024-04-29 15:31:55 INFO  Keywords:285 - Element found...userlist.selectuser
2024-04-29 15:31:55 INFO  Keywords:133 - ClickOnLink is called
2024-04-29 15:31:55 INFO  Keywords:281 - Waiting for webElement...userlist.login
2024-04-29 15:31:55 INFO  Keywords:285 - Element found...userlist.login
2024-04-29 15:32:10 INFO  Keywords:281 - Waiting for webElement...userinformation.initialaction
2024-04-29 15:32:10 INFO  Keywords:285 - Element found...userinformation.initialaction
2024-04-29 15:32:10 INFO  Keywords:281 - Waiting for webElement...userinformation.rawxml
2024-04-29 15:32:10 INFO  Keywords:285 - Element found...userinformation.rawxml
2024-04-29 15:32:22 INFO  Keywords:440 - switching to parent window...
2024-04-29 15:33:19 INFO  Keywords:133 - ClickOnLink is called
2024-04-29 15:33:19 INFO  Keywords:281 - Waiting for webElement...userinformation.samllogin
2024-04-29 15:33:19 INFO  Keywords:285 - Element found...userinformation.samllogin
2024-04-29 15:33:29 INFO  Keywords:281 - Waiting for webElement...carrier.Account
2024-04-29 15:33:32 INFO  Keywords:285 - Element found...carrier.Account
2024-04-29 15:33:42 INFO  Keywords:281 - Waiting for webElement...carrier.AgentName
2024-04-29 15:33:42 INFO  Keywords:285 - Element found...carrier.AgentName
2024-04-29 15:34:03 INFO  Keywords:281 - Waiting for webElement...Carrier.SolicitationState
2024-04-29 15:34:03 INFO  Keywords:285 - Element found...Carrier.SolicitationState
2024-04-29 15:34:13 INFO  Keywords:281 - Waiting for webElement...carrier.carrierName
2024-04-29 15:34:13 INFO  Keywords:285 - Element found...carrier.carrierName
2024-04-29 15:34:23 INFO  Keywords:281 - Waiting for webElement...carrier.carrierProduct
2024-04-29 15:34:23 INFO  Keywords:285 - Element found...carrier.carrierProduct
2024-04-29 15:34:54 INFO  Keywords:133 - ClickOnLink is called
2024-04-29 15:34:54 INFO  Keywords:281 - Waiting for webElement...next
2024-04-29 15:34:54 INFO  Keywords:285 - Element found...next
2024-04-29 15:35:05 INFO  Keywords:281 - Waiting for webElement...plan.accountDesignation
2024-04-29 15:35:26 INFO  Keywords:281 - Waiting for webElement...plan.planType
2024-04-29 15:35:46 INFO  Keywords:281 - Waiting for webElement...plan.ownerType
2024-04-29 15:35:56 INFO  Keywords:281 - Waiting for webElement...plan.owninsuranceplan
2024-04-29 15:36:06 INFO  Keywords:281 - Waiting for webElement...plan.age60orOver
2024-04-29 15:36:17 INFO  Keywords:133 - ClickOnLink is called
2024-04-29 15:36:17 INFO  Keywords:281 - Waiting for webElement...next
2024-04-29 15:36:17 INFO  Keywords:285 - Element found...next
2024-04-29 15:36:28 INFO  Keywords:516 - ClearText is called
2024-04-29 15:36:28 INFO  Keywords:281 - Waiting for webElement...Indowner.dateofbirth
2024-04-29 15:36:38 INFO  Keywords:120 - InputText is called
2024-04-29 15:36:38 INFO  Keywords:281 - Waiting for webElement...Indowner.dateofbirth
2024-04-29 15:36:49 INFO  Keywords:120 - InputText is called
2024-04-29 15:36:49 INFO  Keywords:281 - Waiting for webElement...Indowner.mobilephonenumber1
2024-04-29 15:36:59 INFO  Keywords:120 - InputText is called
2024-04-29 15:36:59 INFO  Keywords:281 - Waiting for webElement...Indowner.mobilephonenumber2
2024-04-29 15:37:09 INFO  Keywords:120 - InputText is called
2024-04-29 15:37:09 INFO  Keywords:281 - Waiting for webElement...Indowner.mobilephonenumber3
2024-04-29 15:37:19 INFO  Keywords:281 - Waiting for webElement...Indowner.Is_there_Joint_Annuitant
